voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-272.8137794917462,25767.47279408091,-562574773.8468448,-15116054.594417334,-71408.18997663433,-150,1.6459493294681004e+19,5138.5607903974915,1.6459493294680998e+19,3203132932754073.0,1.3650780221726896e+21,16.092062978772447,9.453452825546265,3.867782652378082e-05,0.005075370674603619,2.596867943793768e-06,2252852.6475463836,13.982357025146484,10.554835977793875,16.181256654061652,-150,-272.81377689487823,-272.8137794917462,-272.81377885862685,25759.427657687338,25767.47279408091,25775.51972066611,-562574765.7583562,-562574773.8468448,-562574775.211809,-15116054.594455846,-15116054.594417334,-15116054.594417168,-71408.19504100797,-71408.18997663433,-71408.1899656373
-140,-223.46314853752727,60885.1612399483,-460497635.4742859,-13349708.872836769,-59660.955017627166,-140,1.0430520640105388e+19,5443.2321975574632,1.0430520640105382e+19,1916236578109944.7,5.7888298934406952e+20,43.78166238134145,28.455539405345917,0.0013295765966176987,0.005336778711352963,7.01297790328681e-06,2144099.9904311886,37.351825714111328,27.520540578737972,43.795899175447367,-140,-223.46314152454937,-223.46314853752727,-223.46314818453683,60863.27086065049,60885.1612399483,60907.05252303183,-460497613.5813614,-460497635.4742859,-460497642.0369008,-13349708.87416588,-13349708.872836769,-13349708.872836303,-59660.96035440588,-59660.955017627166,-59660.95501904794
-130,-182.20944901464932,86126.01432891376,-375208498.0250436,-11750282.28637296,-48835.92082368926,-130,6.6238383988347955e+18,5765.967936371213,6.6238383988347894e+18,1148781691457597.5,6.3469370297727865e+21,8.997142229403835,4.467031955718994,0.00043597444891929626,0.00493238381750416,2.036129075122517e-06,-2050934.7380402219,7.4635047912597656,8.9575926599307962,14.543506469388447,-130,-182.20944758993534,-182.20944901464932,-182.20944697852025,86121.51598290709,86126.01432891376,86130.5131251365,-375208493.55801165,-375208498.0250436,-375208495.28801084,-11750282.285937615,-11750282.28637296,-11750282.28637359,-48835.925743419386,-48835.92082368926,-48835.92081103557
-120,-147.3943956445779,101337.47455627963,-303267214.4388356,-10287387.122660816,-38599.3497102969,-120,4.2235529945412321e+18,6107.8390626399378,4.223552994541226e+18,691497099256528.62,4.1962524267286053e+19,7.23870661854744,3.575421631336212,0.00018752552568912506,0.0007807789443177171,2.0843632171363424e-06,-1983117.6195454425,5.7774162292480469,8.2930492231130764,13.594805559640335,-120,-147.39439450628723,-147.3943956445779,-147.3943935602147,101333.85510213673,101337.47455627963,101341.09380875528,-303267210.863414,-303267214.4388356,-303267211.3082349,-10287387.122474903,-10287387.122660816,-10287387.122662429,-38599.35049107584,-38599.3497102969,-38599.349733716146
-110,-117.56821592581478,107277.55247520888,-241667737.59453383,-8930293.6834715,-28882.814282847132,-110,2.7140707658946616e+18,6469.9801363426386,2.714070765894655e+18,419486723096630.12,6.16912693668212e+19,11.484478173864773,6.186449855566025,0.00029331445693969727,0.0012991620897082612,1.8197546438614154e-06,1945627.4877224076,8.7387294769287109,7.7984012875945234,11.487221978062976,-110,-117.56821410606014,-117.56821592581478,-117.56821523908529,107271.81017636685,107277.55247520888,107283.29465454072,-241667731.8932561,-241667737.59453383,-241667738.07970595,-8930293.683178443,-8930293.6834715,-8930293.683471758,-28882.815562839853,-28882.814282847132,-28882.814263677763
-100,-91.59389290831446,105594.62492339051,-188051725.55806014,-7657459.097586811,-20052.798346050342,-100,1.7697436932600973e+18,6853.5929868746844,1.7697436932600904e+18,258221300367461.75,2.6102334771279958e+19,0.40567806802573614,0.2855875492095947,9.699072688817978e-05,0.0001896844187285751,7.503639665173978e-08,1938778.624593463,0.29253578186035156,0.26145057793512105,0.4490183832498964,-100,-91.59389283327806,-91.59389290831446,-91.59389290558083,105594.42210572519,105594.62492339051,105594.82778379321,-188051725.33441797,-188051725.55806014,-188051725.62000552,-7657459.097683064,-7657459.097586811,-7657459.097586073,-20052.798156365923,-20052.798346050342,-20052.79832662816
-90,-68.71849624076681,98561.00000016879,-140855508.93364885,-6460916.985133469,-12762.854047476616,-90,1.185108707106942e+18,7259.9507015318468,1.1851087071069348e+18,163239222389882.69,2.2578329393973088e+19,0.023474085493944585,0.17319592833518982,0.00014087092131376266,0.00012530167987279128,8.693631059486506e-08,1959957.8990535489,-0.01601409912109375,0.23930545375264456,0.39319686978442903,-90,-68.71849621802912,-68.71849624076681,-68.71849630496543,98561.01172194199,98561.00000016879,98560.9882478565,-140855508.89011762,-140855508.93364885,-140855509.06331354,-6460916.98527434,-6460916.985133469,-6460916.985136691,-12762.854168166903,-12762.854047476616,-12762.854042865223
-80,-48.676541528149045,88650.4689225129,-99525729.40943342,-5345103.950415492,-7466.061923115638,-80,8.3079774287149056e+17,7690.4018504763417,8.3079774287148288e+17,108030472142366.81,1.059363847204602e+20,0.10497615266649518,0.04562276601791382,2.1904706954956055e-05,0.00036741633084602654,1.3628223882733437e-08,2005880.0411288573,0.06784820556640625,0.082362558149396414,0.13651924524958403,-80,-48.67654151452082,-48.676541528149045,-48.67654151560417,88650.41641823422,88650.4689225129,88650.52139438689,-99525729.36381066,-99525729.40943342,-99525729.40081924,-5345103.950435586,-5345103.950415492,-5345103.950413682,-7466.06156003652,-7466.061923115638,-7466.061927452851
-70,-31.795352096107624,78162.95129605748,-64740111.76378422,-4322537.022117555,-4075.082045319603,-70,6.2568376248412723e+17,8146.3749622061414,6.2568376248411904e+17,76805175969298.141,9.4911915859849523e+18,0.0006028147327015176,0.03103889524936676,1.5953555703163147e-05,0.00012054547369189095,1.4793510416666322e-08,2074396.4838510337,0.000370025634765625,0.038009164590905455,0.062397058090812862,-70,-31.795352090120346,-31.795352096107624,-31.795352104913857,78162.95099229795,78162.95129605748,78162.95159511268,-64740111.75115,-64740111.76378422,-64740111.78218889,-4322537.022101619,-4322537.022117555,-4322537.022117573,-4075.0821658650766,-4075.082045319603,-4075.082072955909
-60,-18.802722798306192,69004.94324897055,-38008910.08117558,-3408375.152801931,-2102.0777865952186,-60,5.1929822677452755e+17,8629.3832643802052,5.1929822677451891e+17,60177907373526.016,2.4872558921907495e+19,0.0642619019781705,0.11826466768980026,7.79125839471817e-05,0.0007815114186087158,6.689777620749737e-08,2165688.6152518545,0.038052558898925781,0.20096823014131718,0.36519087921118398,-60,-18.80272283681945,-18.802722798306192,-18.802722769921672,69004.91112284004,69004.94324897055,69004.97538474202,-38008910.15111068,-38008910.08117558,-38008910.03284601,-3408375.1528408797,-3408375.152801931,-3408375.152762967,-2102.0770050838,-2102.0777865952186,-2102.077777421191
-50,-10.093699713984936,62725.95401665992,-20150612.468130935,-2615775.697094083,-988.7420730480226,-50,4.8074997417254342e+17,9141.0297057329117,4.8074997417253427e+17,52592540408334.414,9.3292406154601595e+18,0.4442060916990158,0.6020872518420219,7.946882396936417e-05,0.0002605128083814634,2.181305802650968e-07,2283139.3425717624,-0.25497531890869141,0.45964297852392083,0.76003538848361529,-50,-10.093699847519131,-10.093699713984936,-10.093699629388551,62726.176115769085,62725.95401665992,62725.731909677386,-20150612.820155673,-20150612.468130935,-20150612.21806842,-2615775.6970988414,-2615775.697094083,-2615775.6970193726,-988.7418565152748,-988.7420730480226,-988.7421170280832
-40,-5.091097904814459,60745.404615187384,-9962397.829532688,-1952625.74847579,-281.7629668562586,-40,4.9176331181785338e+17,9578.1594245514934,4.9176331181784378e+17,51342151453161.961,4.2456144135787566e+18,0.6197087476975867,0.2203845214098692,5.468027666211128e-05,0.00048244554636767134,1.5213748838505126e-07,-2434365.5664185691,0.34784317016601563,0.68501276565790603,1.225809052448362,-40,-5.091097752676971,-5.091097904814459,-5.091097848510488,60745.714460671974,60745.404615187384,60745.094751924276,-9962397.615986936,-9962397.829532688,-9962397.609148167,-1952625.74843694,-1952625.74847579,-1952625.7484211097,-281.76339154582274,-281.7629668562586,-281.7629091002764
-30,-2.5585075730881903,64637.45164018518,-4872225.642533239,-1419413.9391313195,372.2347358437255,-30,5.423310235048569e+17,9858.0210800474961,5.4233102350484704e+17,55014187847754.523,7.5029519320763494e+18,0.20507734423154034,0.11402935720980167,8.149049244821072e-05,0.0009302177859353833,2.2292567347648173e-08,-2632860.7168129631,0.11354923248291016,0.12644201167224736,0.207249637610186,-30,-2.5585075953807577,-2.5585075730881903,-2.5585075737049645,64637.55417805319,64637.45164018518,64637.34910070896,-4872225.723736312,-4872225.642533239,-4872225.609706955,-1419413.9390750085,-1419413.9391313195,-1419413.939049829,372.23566606151144,372.2347358437255,372.2348003975112
-20,-1.3600464778879444,76516.72404026645,-2520156.5249545258,-1008317.8221132755,1296.1420614751987,-20,6.2803354254766195e+17,10146.059937732911,6.2803354254765184e+17,61899254134309.117,1.4512824258561206e+20,0.24969322001561522,0.4363345894962549,0.0001354697160422802,0.0002494453037797939,1.6979826811258647e-07,-2900612.9241494304,0.13749980926513672,0.38412199005127334,0.62400944665897029,-20,-1.3600466075480317,-1.3600464778879444,-1.3600464377497636,76516.84888944542,76516.72404026645,76516.5991962254,-2520156.8362437095,-2520156.5249545258,-2520156.39990912,-1008317.8220826518,-1008317.8221132755,-1008317.8219778058,1296.1418734286272,1296.1420614751987,1296.142122873931
-10,-0.7937975414296813,99721.25061978732,-1452078.5173004065,-704107.6250984669,2790.5467427544645,-10,7.4842736350379098e+17,10442.514925071837,7.4842736350378048e+17,71671179679797.516,1.4741215200252371e+19,0.0032924631086643785,0.8961637881584466,0.0001463895896449685,0.0006378830503308563,4.299879379221494e-07,-3271973.139262001,0.0018148422241210938,1.2600933290794418,1.7895570808413979,-10,-0.7937979687706557,-0.7937975414296813,-0.7937975387827177,99721.25226434259,99721.25061978732,99721.24897187948,-1452079.407386778,-1452078.5173004065,-1452078.5112229898,-704107.6251182571,-704107.6250984669,-704107.6249718675,2790.5472866009786,2790.5467427544645,2790.5466487179283
0,-0.5114992551035769,140088.29169840176,-952001.35362982,-486893.9266911149,4965.225270747091,0,9.0612891261766054e+17,10747.631950685469,9.0612891261764979e+17,84309633673292.0,1.3936507401611694e+19,1.6650631165830418,0.8995732333278283,9.066396160051227e-05,0.00019734416491701268,2.521252479015246e-07,-3798952.1705312789,-0.9280247688293457,1.1129474290770824,1.6659446550940586,0,-0.5114993416466792,-0.5114992551035769,-0.5114995072288248,140087.45916626987,140088.29169840176,140089.12422938645,-952001.256041849,-952001.35362982,-952002.1556150824,-486893.9267778186,-486893.9266911149,-486893.9266871546,4965.225088650254,4965.225270747091,4965.225073402926
10,-0.3556866784238909,208532.18023211957,-702711.2894419171,-335695.08222579956,7515.181589519372,10,1.1063620389913571e+18,11061.664108332649,1.106362038991346e+18,100017685237607.67,8.64407520677009e+19,0.5564697675290518,0.42050627479329705,0.00016118050552904606,0.002480278455550433,1.1357532148092986e-07,-4558199.1738261729,-0.31575775146484375,0.34180936636415776,0.56637098924751683,10,-0.3556867006521838,-0.3556866784238909,-0.3556865870768623,208532.45846687182,208532.18023211957,208531.9019971043,-702711.4267908968,-702711.2894419171,-702711.006284622,-335695.08220644447,-335695.08222579956,-335695.082367625,7515.179109240917,7515.181589519372,7515.181145082568
20,-0.2521111348984337,326734.7417024011,-562904.9092059694,-231531.96428763866,9892.25819010695,20,1.3568280828871772e+18,8761.3903501573968,1.3568280828871685e+18,154864471123901.25,1.8104934427436112e+20,0.15173402830259874,0.38916727900505066,4.871579585596919e-05,0.003503489124341286,2.0019314544983402e-07,-5661027.7208334347,-0.088620185852050781,0.62104571952423271,0.95970549942374817,20,-0.2521109347052882,-0.2521111348984337,-0.25211111595095614,326734.8175696026,326734.7417024011,326734.66583557427,-562904.5200386904,-562904.9092059694,-562904.8442625973,-231531.96428043954,-231531.96428763866,-231531.96423892287,9892.261324539502,9892.25819010695,9892.257821050378
30,-0.15583229544834493,538884.6593728288,-458651.5868200511,-159211.81955105066,11772.996997262118,30,1.6678161742062131e+18,6454.351846146852,1.6678161742062067e+18,258401806093337.41,7.1433471694712627e+18,0.09858584660105407,0.1400096882134676,0.00022354093380272388,0.0024289219836646225,7.475180377469748e-08,-7272387.746721006,0.060268163681030273,0.23752441464259483,0.37866783548575711,30,-0.1558323702001487,-0.15583229544834493,-0.15583231168831785,538884.6100820724,538884.6593728288,538884.708667919,-458651.7268297393,-458651.5868200511,-458651.6362504299,-159211.81954975694,-159211.81955105066,-159211.81977329787,11772.998348773599,11772.996997262118,11772.995919851615
40,-0.026717201153302367,925969.1729987422,-337085.1368014626,-107841.0336585939,13176.615702836541,40,2.0525101146264049e+18,4754.7998763815949,2.0525101146264e+18,431671188691198.12,8.624196389261868e+18,0.006483450997620821,0.008315281942486763,0.0001615915825823322,0.0026646253991202684,5.342491560256235e-09,-9660000.9826022666,0.0042388439178466797,0.017132434072809014,0.029206162355208676,40,-0.026717206495793927,-0.026717201153302367,-0.026717202194084938,925969.1697655166,925969.1729987422,925969.1762489676,-337085.14511674456,-337085.1368014626,-337085.14007206354,-107841.03372555668,-107841.0336585939,-107841.03382018548,13176.613151410469,13176.615702836541,13176.615816035868
50,0.1688286766538063,1584600.3532279327,-162801.80812087655,-70875.05657532811,14271.014709589072,50,2.5274746223050665e+18,3502.7718357088211,2.5274746223050629e+18,721564161427490.37,1.19988476390116e+19,3.0327760877553374,2.1037795058218762,0.00039730836579110473,0.002632502124470193,5.256065883085803e-07,-13333007.252865456,-2.1746304035186768,1.8727007482177747,3.0366947321136948,50,0.16882863732689218,0.1688286766538063,0.1688291629334805,1584601.8696150633,1584600.3532279327,1584598.8368389755,-162802.39363336656,-162801.80812087655,-162800.28985386074,-70875.05664633983,-70875.05657532811,-70875.05697263648,14271.012077086947,14271.014709589072,14271.013429021394
60,0.42430642862450946,2519704.9629582297,47959.06774096936,-45398.75616109371,15210.506676961319,60,3.1133228360748846e+18,2580.426274927047,3.113322836074882e+18,1206514933724624.0,2.597575610385304e+19,6.966024077963084,3.4852204878698103,0.0004592207260429859,0.0020652755611081375,1.1166895176883962e-06,-19227032.704269987,-5.3973054885864258,5.3802959653757521,8.121384048752148,60,0.4243072632115901,0.42430642862450946,0.42430754531402715,2519708.4459601413,2519704.9629582297,2519701.4799360633,47959.64245878719,47959.06774096936,47962.55296145723,-45398.75620599126,-45398.75616109371,-45398.75662031444,15210.507950318879,15210.506676961319,15210.505885043318
70,0.6901114228879589,3606280.966407325,232887.12096794322,-29266.037833482027,16067.668518213904,70,3.835582033112363e+18,1900.9516099373463,3.835582033112361e+18,2017716817756755.2,3.4339769920038756e+19,1.7676372192800045,0.9487567124888301,0.0002709860782488249,0.028349797779810615,5.886312063330124e-07,-28334518.362372477,1.4230570793151855,2.2225907225290991,3.6666603757767966,70,0.6901108342567526,0.6901114228879589,0.6901111397745336,3606280.0825062282,3606280.966407325,3606281.8501434475,232886.17221123073,232887.12096794322,232886.23751219866,-29266.03782422212,-29266.037833482027,-29266.03756249595,16067.696423151498,16067.668518213904,16067.668073353718
80,0.938550047659646,4764754.325176992,359830.82722309977,-19340.339362621307,16854.031113489706,80,4.7257876927337144e+18,1400.3953759250699,4.7257876927337134e+18,3374609609526856.0,2.2763557569872519e+19,1.584840439260006,4.951947650988586,0.00010596090578474104,0.013512471447029384,2.1217577080845373e-06,-41198123.87050721,1.2914137840270996,5.4010478766861176,8.3204577788894536,80,0.9385519148348761,0.938550047659646,0.938549793077168,4764753.53277088,4764754.325176992,4764755.117611319,359834.9854616057,359830.82722309977,359830.0335139547,-19340.339370990638,-19340.339362621307,-19340.339265029732,16854.01760101826,16854.031113489706,16854.03083422569
90,1.18259863837196,6035470.132601876,441430.0571432039,-12888.516038790345,17571.092183302273,90,5.8228488793891e+18,1031.6449922557226,5.822848879389099e+18,5644237041908445.0,1.0564097672476672e+20,14.493090978823602,15.342312264605425,0.0007062202421366237,0.01450595082496875,5.047080892550682e-06,58677444.288985662,-11.861153960227966,10.897376460149436,16.194142650839343,90,1.182595912919952,1.18259863837196,1.1826009600008445,6035477.379073895,6035470.132601876,6035462.885982916,441421.96105502546,441430.0571432039,441437.30336729006,-12888.516067215241,-12888.516038790345,-12888.516745010587,17571.106689253098,17571.092183302273,17571.092542485603
100,1.4452711435359777,7499046.524817441,498180.3887308147,-8367.493568956852,18223.68260281306,100,7.1747415911228119e+18,759.99350493660609,7.1747415911228109e+18,9440530142058628.0,6.8650572092392407e+19,22.10449924133718,29.74940509343287,0.0005037248884036671,0.07482281529883039,1.0779963306450924e-05,-82430591.259701654,18.138963103294373,23.047829852377347,37.541163436947969,100,1.4452639058030066,1.4452711435359777,1.445274685766313,7499057.5770282205,7499046.524817441,7499035.472528979,498161.6947472645,498180.3887308147,498191.44415235793,-8367.493540330674,-8367.493568956852,-8367.494044055562,18223.60777999776,18223.68260281306,18223.681502512765
