voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.00000012726432531230134624343882654058162931488669283468210528607793858843971642766144,-0.39720451096223892844968932363599205056536939868626447088350940950328695955752055,-150,5079.9506207180692966617088089381601849456920323210166626763839259824417291357245,0.0064027980283356347640836529623439805868363668639439094863639985444278997943651592,5079.9442179200409610269447252851978409651051959541527187668975619838973012359302,793395.41841499708361204301471350228060938807169362274254914064706171202540002711,31079784.749743265795291352321856819621087052681334812078714454720709605866673294,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,2.5134558542324359951850352409529731292033103423997181773371131479997978904175185e-88,22.822304202723774033559931243069629565238240002229798029861967024298817797073842,-2.5222218628878805233147853853204035845650127880458842881934219751330125956899543e-82,7.1731648904155728029062389133827228017702377268740459678040313721988716952286681e-82,1.3304712003626480578214795581853411868444168442674364609548560847434871917353275e-81,-150,-0.00000012726432531230134624343882654058162931488669283468210528607793858843971642766144,-0.00000012726432531230134624343882654058162931488669283468210528607793858843971642766144,-0.00000012726432531230134624343882654058162931488669283468210528607793858843971642766144,-0.39720451096223892844968932363599205056536939868626447088350940950328695955752055,-0.39720451096223892844968932363599205056536939868626447088350940950328695955752055,-0.39720451096223892844968932363599205056536939868626447088350940950328695955752055
-140,-0.00000011188176495551043882460438963502312652502679299462187135560394832251577746731982,-0.34919402295727354706311857360308950176672158608845658518397362845092558277352849,-140,4492.8332000577627915468692415118280724545736504506221908894416970569381603431462,0.0066694345868889639436334714778349004922493920140426549935195461678367624123245433,4492.8265306231759025829256080403502375540814010586081482344481775107703235807339,673645.2905453110650620891807056168065503505591429486825415875843462045317836003,27302337.760873497421205327053709382539106539234148181171948224367696522554872814,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,3.7701837813486539927775528614294596938049655135995772660056697219996968356262778e-88,18.209317442305400528316361637490351467509300822612579303540066888567976793660589,1.3847203257674965666181552634043125927624048665752283008857809370797153369967871e-81,1.4007419236538255009365938500223515560528296690473592200475270568865499951869692e-81,1.99266184663060939223084321759237955538355570668732662905245413215580078556115e-81,-140,-0.00000011188176495551043882460438963502312652502679299462187135560394832251577746731982,-0.00000011188176495551043882460438963502312652502679299462187135560394832251577746731982,-0.00000011188176495551043882460438963502312652502679299462187135560394832251577746731982,-0.34919402295727354706311857360308950176672158608845658518397362845092558277352849,-0.34919402295727354706311857360308950176672158608845658518397362845092558277352849,-0.34919402295727354706311857360308950176672158608845658518397362845092558277352849
-130,-0.000000097966851075674599344615981522919137702700216260082833488974958554113608264923923,-0.30576420435603809081081673386555263922527078173269547255182694778711434878610594,-130,3978.1740247052349913381246700499279842142337149761218878603192996443999354565277,0.0069471748932167077244540719268335202750577802349375285956654469336317572921115052,3978.1670775303417746304002159780011506939586571958869503317236341974663036992356,572631.90949598297859945068999196438258863659904821346319523698308548537219774106,23984171.192081194854358703328752996947508244580485778180815356024036476158654739,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,2.5134558542324359951850352409529731292033103423997181773371131479997978904175185e-88,14.5481032311093607347698250191688916068962802103448141447001924152721017035216,1.6174108892905475920535428184901434379192733259990873593869009622538518095065644e-82,3.2483119230107127758948616056421916857346809222149957341938882392516183872739429e-82,6.1869081697831835336131959906079429342874284869549871039959556481297919975314012e-82,-130,-0.000000097966851075674599344615981522919137702700216260082833488974958554113608264923923,-0.000000097966851075674599344615981522919137702700216260082833488974958554113608264923923,-0.000000097966851075674599344615981522919137702700216260082833488974958554113608264923923,-0.30576420435603809081081673386555263922527078173269547255182694778711434878610594,-0.30576420435603809081081673386555263922527078173269547255182694778711434878610594,-0.30576420435603809081081673386555263922527078173269547255182694778711434878610594
-120,-0.000000085287922964460614303999902782033158647453124069531487711045718131779437435624879,-0.26619201923988957120594967714390317502500972609212477412350402820730216611927846,-120,3527.1002792051955480913836208589455153227260526337916963415130014561373752548456,0.0072364813490814270255032338492596083221745964263188565420334053129719569972497273,3527.0930427238464666643581176250962557144038780373653774849709680508244032978484,487405.42662393692213567283727573878279968354295827922119723179384710655574272684,21069493.470633369214192639620469789093022792737543432948940654902300766826897511,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,1.2567279271162179975925176204764865646016551711998590886685565739998989452087593e-88,11.642552588750611157798848282892489011368327420174228797970583274633681847069447,1.5285207311865026594136321672370779732143885697864592637462826900594111838185309e-82,2.3149588275263111229876911963378053450122188786710218891272887167367619500215886e-82,4.4068781255144446495458887704287506789510684448627685487376325291979994591541942e-82,-120,-0.000000085287922964460614303999902782033158647453124069531487711045718131779437435624879,-0.000000085287922964460614303999902782033158647453124069531487711045718131779437435624879,-0.000000085287922964460614303999902782033158647453124069531487711045718131779437435624879,-0.26619201923988957120594967714390317502500972609212477412350402820730216611927846,-0.26619201923988957120594967714390317502500972609212477412350402820730216611927846,-0.26619201923988957120594967714390317502500972609212477412350402820730216611927846
-110,-0.000000073620044558064383762125912284526455403523151604838941455582335508027919794206437,-0.22977541996898997341706191749433019447742232075494046191487077870045758155325055,-110,3131.8347531524598267266088293668977994876485389865558312526785849595604562262641,0.0075378356123918360235318935445826948906072790153662469866436551518905050148166281,3131.8272153168474348905852974733532167927579317075404650056919413044085657212493,415481.96514180747640006057771178308980377026691113860677499639747447161779133818,18509305.200484811043147947623588099765265449118863430902650532253226698990923245,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-81,3.7701837813486539927775528614294596938049655135995772660056697219996968356262778e-88,9.3386776163330590611385370379283178069901597580466259355730938841055220555880561,-9.7353156156254711041693218608826162943603724615175261097162806280903883060240023e-82,9.146007038541104910032993966138768434265604709995196651671212184228534877880728e-82,1.0873846885760978600477724015985513214806289517481264927126281833028494819645987e-81,-110,-0.000000073620044558064383762125912284526455403523151604838941455582335508027919794206437,-0.000000073620044558064383762125912284526455403523151604838941455582335508027919794206437,-0.000000073620044558064383762125912284526455403523151604838941455582335508027919794206438,-0.22977541996898997341706191749433019447742232075494046191487077870045758155325055,-0.22977541996898997341706191749433019447742232075494046191487077870045758155325055,-0.22977541996898997341706191749433019447742232075494046191487077870045758155325055
-100,-0.000000062750308098466298465276456154644053406176833796276596267064433582998111952119514,-0.19584990043216698388460991848521959606765300011185173344287736940790605013507873,-100,2785.5591954192925252827827690419911822057443682038107795548176213705772781940713,0.0078517393991010563750634966349392753384263025107245488657676225157853388342627938,2785.551343679893424226407705545356242930405941901300055005951853748061492855237,354769.69545604257845512002484862060662606832595683766407738886589539283757200354,16260576.677462925366254291841042020600036291196963764064243973398743788300458713,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,3.7701837813486539927775528614294596938049655135995772660056697219996968356262778e-88,7.5171490791198075661731375791707060545585898107987899247629703732318570958554676,-1.9730329872387329491229250973891106911495691327792278694325164214602233327068165e-82,8.4799602784422757598281143119353134998522295016152272724639944401789197590770461e-82,1.4871670241684129379336002740411093325202424519236149090006124613686220385147491e-81,-100,-0.000000062750308098466298465276456154644053406176833796276596267064433582998111952119514,-0.000000062750308098466298465276456154644053406176833796276596267064433582998111952119514,-0.000000062750308098466298465276456154644053406176833796276596267064433582998111952119514,-0.19584990043216698388460991848521959606765300011185173344287736940790605013507873,-0.19584990043216698388460991848521959606765300011185173344287736940790605013507873,-0.19584990043216698388460991848521959606765300011185173344287736940790605013507873
-90,-0.000000052496708472502772661925410862172147679283900534392795946167919423974493369636336,-0.1638474047206703349409141460984776752710824084808655234555946864907641280301512,-90,2482.2950007732181041824912468305448445099696399236632410228369849141402276687906,0.008178715318498922331495725796663999516045257646699872947883214165321575720246169,2482.2868220578996052601597511047481805104535946660165411498891016999749060930704,303506.71274236321663793945509839378537824172129575167104996259002851001893182784,14285526.308488326955238225336758445665965836973491141750002444462292629221596424,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,3.1418198177905449939812940511912164115041379279996477216713914349997473630218981e-88,6.0888134073639204760300859610970899702375966568060315076889157875561520723347532,-1.9504449337951227757858468592312778893409367595922644302558171253547693345824099e-84,1.2437160164337757540846864196057268577764117627917847267945091409222147861898624e-81,1.8801751490267211246766978626464794087474010976244286080910731601833721462657167e-81,-90,-0.000000052496708472502772661925410862172147679283900534392795946167919423974493369636335,-0.000000052496708472502772661925410862172147679283900534392795946167919423974493369636336,-0.000000052496708472502772661925410862172147679283900534392795946167919423974493369636336,-0.1638474047206703349409141460984776752710824084808655234555946864907641280301512,-0.1638474047206703349409141460984776752710824084808655234555946864907641280301512,-0.1638474047206703349409141460984776752710824084808655234555946864907641280301512
-80,-0.000000042747682950472270030702592481400455600695233129941515850712352624241178287572841,-0.13341973455203580584000556497389160217800720225071401309010349812100705839948325,-80,2216.798972027467708675055361632199436196017591081508559824719735506974335906571,0.0085193077432889978050419296724633500561468560739539001100798738659187870862809138,2216.7904527197244196772503197025269728459614442254346059246096556331084171194848,260208.81494435150988811698661316978620676075310405051921679584786098944824109422,12550987.9452641527565935159514575958698777020861850348045884512930740841861759,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,3.1418198177905449939812940511912164115041379279996477216713914349997473630218981e-88,4.9938952146808456816841766306338715139933311867867432481839151900711283363962571,-3.923717289658497008379932544734856700037426274623685650973990777227833989838223e-82,3.6386428521043998506213114919177872800960315851960602335929046850365036123224228e-82,5.7839683093646016843727063323385839595188998456030573312434432834706894033807578e-82,-80,-0.000000042747682950472270030702592481400455600695233129941515850712352624241178287572841,-0.000000042747682950472270030702592481400455600695233129941515850712352624241178287572841,-0.000000042747682950472270030702592481400455600695233129941515850712352624241178287572841,-0.13341973455203580584000556497389160217800720225071401309010349812100705839948325,-0.13341973455203580584000556497389160217800720225071401309010349812100705839948325,-0.13341973455203580584000556497389160217800720225071401309010349812100705839948325
-70,-0.000000033519864922990849066991293161973831840495100027262776146154029103004644603970135,-0.10461880437887281760630343536538394170703230068733206688710233344440302325390603,-70,1984.4722063588886240570665233800131591686953925225282308825381737756172715998452,0.0088740837158988638596928403800225534301035702892857405783469510116930477627847192,1984.4633322751727251932068305396331366152652889522389451419598268246055785520824,223625.58996412168319688063670048212925121488056407172927591638674627832333146876,11027856.682086057143529221184396447846811224345327178086008710653377020298449722,1.4495522171941969433479289320496276135601196900756697881356924159523698400083419e-81,4.3985477449067629915738116716677029761057930991995068103399480089996463082306574e-88,4.2058437872504266706235143672756112924873250892653464856212863575288437428720867,1.238219306533166928327088186298753376168898333673987456458134584419814213193566e-81,2.0710158362199793999715288083289966723942292677634139189012496975671863532493266e-81,3.5810822788271421257328244248844498689082411573338835545794500690602826569541206e-81,-70,-0.000000033519864922990849066991293161973831840495100027262776146154029103004644603970135,-0.000000033519864922990849066991293161973831840495100027262776146154029103004644603970135,-0.000000033519864922990849066991293161973831840495100027262776146154029103004644603970135,-0.10461880437887281760630343536538394170703230068733206688710233344440302325390603,-0.10461880437887281760630343536538394170703230068733206688710233344440302325390603,-0.10461880437887281760630343536538394170703230068733206688710233344440302325390603
-60,-0.000000025003358279663716486492669225969465711678846356391314973161544915335883684606926,-0.078037947189961665886839160070506569003055771332266061540962611476283650312070751,-60,1781.2804163147522498557892164818965687165157873431072274738318155614443640204216,0.0092436338925325746654849631129458727030790917140388726456089820556810418916992789,1781.2711726808597172811237315187836228438127082513931886011862065793886829785299,192703.47971632142380050905631110734551921520985227040777394487768303773191331219,9690604.0438499210364291188166065476201077216568683442119372494087706365468753883,1.185997268613433862739214580767877138367370655516457099383748340324666232734098e-81,3.7701837813486539927775528614294596938049655135995772660056697219996968356262778e-88,3.7381444321204493847047942040169417098093937329869778532259052876879821801980659,5.9655996954295273112209117919993265675555607008323676037514138622793049874640258e-83,1.4688843026957145177052248772811657121563845558863575317289107799644043804136073e-82,2.4420069049057987005829486965054915759850640193112512198138530155507906483260483e-82,-60,-0.000000025003358279663716486492669225969465711678846356391314973161544915335883684606925,-0.000000025003358279663716486492669225969465711678846356391314973161544915335883684606926,-0.000000025003358279663716486492669225969465711678846356391314973161544915335883684606926,-0.07803794718996166588683916007050656900305577133226606154096261147628365031207075,-0.078037947189961665886839160070506569003055771332266061540962611476283650312070751,-0.078037947189961665886839160070506569003055771332266061540962611476283650312070751
-50,-0.000000017531358295784272997421921418838519870087418436797166026776491983493794520232689,-0.054717098301449044580035445190227988485332200662828698648457245679336837190391538,-50,1603.6842209551608005013069556519170626019061850873793772504494842927025567933358,0.0096285735265370038375636880205718710341212608347309974635463061165449963374548078,1603.6745923816342634974693919638964907308720638265446462529859379865860117969983,166554.70475821760732970457781939300602311931720279727280407868929124572735383452,8516854.7309698975072311898739301088602650129226709949530289720572895354442404303,2.8991044343883938866958578640992552271202393801513395762713848319047396800166839e-81,9.1112774715925804825457527484545275933619999911989783928470351614992673527635046e-88,3.6421635065953749760798536990351121680268483012996312421427640633640969510314723,-2.9962307396174344769393282335025212900211847450163568084293364857118961559276164e-82,4.7768876408687367440408107967076404569694585548237638296431430962778836589445833e-82,8.1639485065436091609949110520469917863416844396255500039133274491002579728653829e-82,-50,-0.000000017531358295784272997421921418838519870087418436797166026776491983493794520232688,-0.000000017531358295784272997421921418838519870087418436797166026776491983493794520232689,-0.000000017531358295784272997421921418838519870087418436797166026776491983493794520232689,-0.054717098301449044580035445190227988485332200662828698648457245679336837190391535,-0.054717098301449044580035445190227988485332200662828698648457245679336837190391538,-0.054717098301449044580035445190227988485332200662828698648457245679336837190391538
-40,-0.000000011435212022634054395679985181737801201397146743614083914779455797937943709632943,-0.035690424540056351353329749847369992592929790793093093549466360255984370503329292,-40,1448.5781360995038866534487306200489095769259721022137859947006732613751502014458,0.010029543492719253965876913164960452402167135946086695348377010485150061162258446,1448.5681065560111673994828537068839491245238049662676992993522962508900001402835,144431.11365448189587066436363391382825893897175423810875843772171861574193411822,7487018.2186302701069253973612421706031203727409361859019660006277406841084541502,8.5655358288748001197832164166568904437643436231744123844381824579003672364129297e-82,2.8276378360114904945831646460720947703537241351996829495042522914997726267197083e-88,3.9796022833649691337025905758942172946154743452006881566607998177657721286182227,-1.0513058801512069174556488929079753132034722532840619967320551277658899165328256e-83,8.8729077160363965850988037165973623520319486483827793603853641762830854442158498e-82,1.2865556616266068216980958446825464367906289870153722066633475191114673648050935e-81,-40,-0.000000011435212022634054395679985181737801201397146743614083914779455797937943709632943,-0.000000011435212022634054395679985181737801201397146743614083914779455797937943709632943,-0.000000011435212022634054395679985181737801201397146743614083914779455797937943709632943,-0.035690424540056351353329749847369992592929790793093093549466360255984370503329292,-0.035690424540056351353329749847369992592929790793093093549466360255984370503329292,-0.035690424540056351353329749847369992592929790793093093549466360255984370503329292
