voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,0.000016083881651015401624022909873838031027110183435581106288642923438544625112690731,100.39876186651312382578016801337196357864964272379074518476809984736007187683878,-150,7020026.6148523734963013908178310230297453687399848090731186260738889525107365272,7020026.6148523734963013908178310230297453687399848090731186260738889525107365272,0.0,1.0,14040053.229704746992602781635662046059490737479969618146237252147777905021473054,8.0964080204010418362997048713753745979212503416590137984597220032830548154647754e-79,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,7020026.6583237577510999271152611730684907997611281275970609708889067977024760344,-1.2567279271162179975925176204764865646016551711998590886685565739998989452087593e-88,7.0927672178411641228798714047339307777924143802089760522800001877682598383661147e-79,1.0030687594226258995724015724179911985175666908179908242019802096765174387959272e-78,-150,0.000016083881651015401624022909873838031027110183435581106288642923438544625112690731,0.000016083881651015401624022909873838031027110183435581106288642923438544625112690731,100.39876186651312382578016801337196357864964272379074518476809984736007187683878,100.39876186651312382578016801337196357864964272379074518476809984736007187683878
-140,0.000018724658350887939530682174613396548220158352823974710488506173787624779921858446,116.88301092938789311493184542908037993301334752258226183105624677991808865843977,-140,7466048.3887737848978342569229109478723160587439793507654793865111355289171289716,7466048.3887737848978342569229109478723160587439793507654793865111355289171289716,0.0,1.0,14932096.777547569795668513845821895744632117487958701530958773022271057834257943,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,0.0,7466048.4282102951593590078951179632715453134272276175037465704975377836425158638,0.0,5.4712346252148055510722478925783805168601228322560279238990964909299215541987393e-79,7.7374942099040557230192636054386147303482158846523621582885442632340810205164003e-79,-140,0.000018724658350887939530682174613396548220158352823974710488506173787624779921858446,0.000018724658350887939530682174613396548220158352823974710488506173787624779921858446,116.88301092938789311493184542908037993301334752258226183105624677991808865843977,116.88301092938789311493184542908037993301334752258226183105624677991808865843977
-130,0.000021798888456314871024696344825555091398221757037949397139260408351462418979349305,136.07296164990556882893563869310549152710954205593274225928749407759432650466464,-130,7940410.1042957236590844255572301753317345104489588530853425342902840595535022904,7940410.1042957236590844255572301753317345104489588530853425342902840595535022904,0.0,1.0,15880820.208591447318168851114460350663469020897917706170685068580568119107004581,1.8891618714269097618032644699875874061816250797204365529739351340993794569417809e-78,3.2172234934175180738368451084198056053802372382716392669915048294397412997344237e-85,7940410.1404347104462850609112182397033128672889809086663454835931594095799694749,0.0,5.6282133445114142047775546521631654176237741091699873671939379669381098769637848e-79,7.959495643737278764632664777306058334112197415859032761388697028742405823530513e-79,-130,0.000021798888456314871024696344825555091398221757037949397139260408351462418979349305,0.000021798888456314871024696344825555091398221757037949397139260408351462418979349305,136.07296164990556882893563869310549152710954205593274225928749407759432650466464,136.07296164990556882893563869310549152710954205593274225928749407759432650466464
-120,0.00002537773895840884710745326401526398186846894630871094971319613421074116081108481,158.41285242452464662936813199211343423351949800693163975533879014222390163346751,-120,8444912.2440944855088466126065827505135414474398227584113165582851871695476782423,8444912.2440944855088466126065827505135414474398227584113165582851871695476782423,0.0,1.0,16889824.488188971017693225213165501027082894879645516822633116570374339095356485,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,9.6516704802525542215105353252594168161407117148149178009745144883192238992032711e-86,8444912.2775951340914719304028210331882230250347702317106400301715528031565219416,0.0,4.4351494594807343287937182414007707293781523344738170306981852935934144586575343e-80,6.2722485167493562695267913787227418585691722135293870609114060880865227309970789e-80,-120,0.00002537773895840884710745326401526398186846894630871094971319613421074116081108481,0.00002537773895840884710745326401526398186846894630871094971319613421074116081108481,158.41285242452464662936813199211343423351949800693163975533879014222390163346751,158.41285242452464662936813199211343423351949800693163975533879014222390163346751
-110,0.000029544056353423638726126207694967664817804653619877219215149740672331236137983942,184.41982742461698014519483124476653903456529591532118035230190974954169417143939,-110,8981469.7072461873466639403915751909163252065682056219001897013090890361879940296,8981469.7072461873466639403915751909163252065682056219001897013090890361879940296,0.0,1.0,17962939.414492374693327880783150381832650413136411243800379402618178072375988059,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1.6086117467087590369184225542099028026901186191358196334957524147198706498672119e-85,8981469.7387069346916492105752820136701034471407730516594964420220786548026209235,0.0,3.5347676299069621987390765985211564774294337478856930831713581761871485793438614e-80,4.9989163220518270410609090736560407013109074330542351729007037495985503670351766e-80,-110,0.000029544056353423638726126207694967664817804653619877219215149740672331236137983942,0.000029544056353423638726126207694967664817804653619877219215149740672331236137983942,184.41982742461698014519483124476653903456529591532118035230190974954169417143938,184.41982742461698014519483124476653903456529591532118035230190974954169417143939
-100,0.000034394284420437788272556259740904933321139323461409788046491624252692733519550249,214.69590774305736586028139614392946106122847878772044687865172229391932122802414,-100,9552119.0763343992591068633102676639096444566841808915316517234198952801175379388,9552119.0763343992591068633102676639096444566841808915316517234198952801175379388,0.0,1.0,19104238.152668798518213726620535327819288913368361783063303446839790560235075878,8.0964080204010418362997048713753745979212503416590137984597220032830548154647754e-79,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,9552119.1063095827535663288987595446260169012055778107643812413108762048464945937,1.2567279271162179975925176204764865646016551711998590886685565739998989452087593e-88,1.349472484776496036949598374864983886802563972833564404178381197841017842073636e-78,1.9084422900202407368575980650413006310720843166728023939699375950159654190658565e-78,-100,0.000034394284420437788272556259740904933321139323461409788046491624252692733519550249,0.000034394284420437788272556259740904933321139323461409788046491624252692733519550249,214.69590774305736586028139614392946106122847878772044687865172229391932122802414,214.69590774305736586028139614392946106122847878772044687865172229391932122802414
-90,0.000040040696648625047558403852400035155310517058402682789706812479926738673628287333,249.94192664559956043714123799167970205889844641886114512708565901625806798024258,-90,10159026.346621693815241180315368523649932437339365268349131776584513104843402673,10159026.346621693815241180315368523649932437339365268349131776584513104843402673,0.0,1.0,20318052.693243387630482360630737047299864874678730536698263553169026209686805347,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1.9303340960505108443021070650518833632281423429629835601949028976638447798406542e-85,10159026.375638004877837553293805127314308095663480993718675909099355223890880201,0.0,5.0162432510636692104895030336154094150026215734498125855810727811460117560880584e-79,7.0940392378167474435128292161934983082036331756176514185277897346741658441773144e-79,-90,0.000040040696648625047558403852400035155310517058402682789706812479926738673628287333,0.000040040696648625047558403852400035155310517058402682789706812479926738673628287333,249.94192664559956043714123799167970205889844641886114512708565901625806798024257,249.94192664559956043714123799167970205889844641886114512708565901625806798024258
-80,0.000046613994985679472783022231383431073606451778704232461816858455383026693304538973,290.97375147115777240235876470881665527178721427632864696815200030994210321528084,-80,10804495.146599236874929186941671295226597500064244750163496148572116214739086662,10804495.146599236874929186941671295226597500064244750163496148572116214739086662,0.0,1.0,21608990.293198473749858373883342590453195000128489500326992297144232429478173323,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1.9303340960505108443021070650518833632281423429629835601949028976638447798406542e-85,10804495.175172598665600504404454223676827861871874512827744196022765952638444436,0.0,7.5529626261746278413772472207538431140376303045737784458554931791591722589707149e-79,1.0681502182033267833188441580459141378973313109532458707851846364678939166319381e-78,-80,0.000046613994985679472783022231383431073606451778704232461816858455383026693304538973,0.000046613994985679472783022231383431073606451778704232461816858455383026693304538973,290.97375147115777240235876470881665527178721427632864696815200030994210321528084,290.97375147115777240235876470881665527178721427632864696815200030994210321528084
-70,0.00005426633505196289769840713491534074016336143317879951358628512993793085037627369,338.74116761524906642313476821012538728859130453997538079872255838309932342057648,-70,11490975.481096809467859003548430136608714005150161509028853533621132378399345505,11490975.481096809467859003548430136608714005150161509028853533621132378399345505,0.0,1.0,22981950.962193618935718007096860273217428010300323018057707067242264756798691009,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,11490975.509750372375755278340470187832624107364974832821598695309459041295983407,0.0,1.1794476591859770135406245750439049408850798329912149699313383530239803550948517e-78,1.6679908757300086547324385359363337871979841212348936260032262317208070924482778e-78,-70,0.00005426633505196289769840713491534074016336143317879951358628512993793085037627369,0.00005426633505196289769840713491534074016336143317879951358628512993793085037627369,338.74116761524906642313476821012538728859130453997538079872255838309932342057648,338.74116761524906642313476821012538728859130453997538079872255838309932342057648
-60,0.000063174847829477426977401100270207583257280472925592095820572488474990986749292741,394.34986160722490742952294127881172131620779134537974950075744503966030675529882,-60,12221073.030121930711098402583103731435413176382596356029444773861234517742307828,12221073.030121930711098402583103731435413176382596356029444773861234517742307828,0.0,1.0,24442146.060243861422196805166207462870826352765192712058889547722469035484615656,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,12221073.059405987699917067843771794737348661761877751455774296421586397444244976,0.0,6.1334043612836194392832580934415186113007507787393453170126124706703415856200831e-79,8.6739436312455851389748216090640421179784913132839229572010477556979942807935158e-79,-60,0.000063174847829477426977401100270207583257280472925592095820572488474990986749292741,0.000063174847829477426977401100270207583257280472925592095820572488474990986749292741,394.34986160722490742952294127881172131620779134537974950075744503966030675529882,394.34986160722490742952294127881172131620779134537974950075744503966030675529882
-50,0.000073545739318736264965070762907966134442698717842683193055554613115260186377407709,459.08701197713026642956403897065434382831496424713524831995669338941979948938683,-50,12997559.0387085343957954016485247477152646390748323493904075259680855244910979,12997559.0387085343957954016485247477152646390748323493904075259680855244910979,0.0,1.0,25995118.077417068791590803297049495430529278149664698780815051936171048982195801,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,12997559.069223308010864460496082452536643158349148514926350629615907696037428609,0.0,4.0042014306344564123254644401269285606083919485596286216300278772917359343741636e-79,5.6627959696769982509828900911907015365697726304061384628926647515969242982565871e-79,-50,0.000073545739318736264965070762907966134442698717842683193055554613115260186377407709,0.000073545739318736264965070762907966134442698717842683193055554613115260186377407709,459.08701197713026642956403897065434382831496424713524831995669338941979948938683,459.08701197713026642956403897065434382831496424713524831995669338941979948938683
-40,0.000085619063025334299409087141277734877005059991466341868864256479331446093805020854,534.45108005826656514487565778749622139593075563447945325765467250574724400857492,-40,13823380.835301026354758452633076877057857308734816896179190428035826878689392633,13823380.835301026354758452633076877057857308734816896179190428035826878689392633,0.0,1.0,27646761.670602052709516905266153754115714617469633792358380856071653757378785267,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,2.573778794734014459069476086735844484304189790617311413593203863551793039787539e-85,13823380.867723479942298265130714492601450175876362613345575929861169499432856378,0.0,9.8896522893947303648245025755661609755986822060543283977354538830645538269384588e-79,1.398608039481615675681147883544323118128222936259453709971606245694117047954695e-78,-40,0.000085619063025334299409087141277734877005059991466341868864256479331446093805020854,0.000085619063025334299409087141277734877005059991466341868864256479331446093805020854,534.45108005826656514487565778749622139593075563447945325765467250574724400857492,534.45108005826656514487565778749622139593075563447945325765467250574724400857492
-30,0.000099674275700354960843126298352848056019916402305703086524316841935440464301065214,622.18649001470016155173490986300483032155931761387749630045344914538860216949201,-30,14701673.018587147777906353550395289287037274612441094687741294804552652997783914,14701673.018587147777906353550395289287037274612441094687741294804552652997783914,0.0,1.0,29403346.037174295555812707100790578574074549224882189375482589609105305995567828,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,14701673.053703237820300801883526692471185886021417505814828850926994603541708155,1.2567279271162179975925176204764865646016551711998590886685565739998989452087593e-88,4.5180833151961012935514454532461923702035182781878917955420821611346907949822006e-79,6.3895347002819216538393822950471264524673335107031761247103452824497537133038038e-79,-30,0.000099674275700354960843126298352848056019916402305703086524316841935440464301065214,0.000099674275700354960843126298352848056019916402305703086524316841935440464301065214,622.18649001470016155173490986300483032155931761387749630045344914538860216949201,622.18649001470016155173490986300483032155931761387749630045344914538860216949201
-20,0.000116036704874187823039311497064186928494216164067133583458785172370452160478035,724.32400046309506182095994383804046388863699072752351370567580243727517953563256,-20,15635769.355231858338155874963070892379652744523810390200194303159608485369369189,15635769.355231858338155874963070892379652744523810390200194303159608485369369189,0.0,1.0,31271538.710463716676311749926141784759305489047620780400388606319216970738738378,0.0,0.0,15635769.39397598900788549236786624008732957976362933206958420341411274272860335,-2.5134558542324359951850352409529731292033103423997181773371131479997978904175185e-88,7.3493424569418858818176270565937317283156894859974595286840339519561046179434187e-79,1.0393539777131619342555873218466175255018897707207988981493514131156345075424559e-78,-20,0.000116036704874187823039311497064186928494216164067133583458785172370452160478035,0.000116036704874187823039311497064186928494216164067133583458785172370452160478035,724.32400046309506182095994383804046388863699072752351370567580243727517953563256,724.32400046309506182095994383804046388863699072752351370567580243727517953563256
-10,0.00013508507781028685314208048501143462401002362630520772979362452893797619635810328,843.22770168718389493868268065264974789392058619458768553753171753928874740490799,-10,16629215.433664249905625227275117560028107659613450688636468361892848727211431962,16629215.433664249905625227275117560028107659613450688636468361892848727211431962,0.0,1.0,33258430.867328499811250454550235120056215319226901377272936723785697454422863924,0.0,0.0,16629215.477168135848140592499893207387692985366604627949304609157192202711873678,0.0,7.1777398324901097016523794637380135393619483609182468552849820528303102678927438e-79,1.0150857018293100564033291374869974198326727873283203143753176362833838053204602e-78,-10,0.00013508507781028685314208048501143462401002362630520772979362452893797619635810328,0.00013508507781028685314208048501143462401002362630520772979362452893797619635810328,843.22770168718389493868268065264974789392058619458768553753171753928874740490799,843.22770168718389493868268065264974789392058619458768553753171753928874740490799
0,0.0001572602860508399977510433646247147401965539471472014487555421853562510068062845,981.64972566067419287676593960176023822742639609113385462838957774932832024445469,0,17685782.121940449802832094974461084566545713459502114080223231805095308046064539,17685782.121940449802832094974461084566545713459502114080223231805095308046064539,0.0,1.0,35371564.243880899605664189948922169133091426919004228160446463610190616092129078,3.2385632081604167345198819485501498391685001366636055193838888013132219261859101e-78,5.1475575894680289181389521734716889686083795812346228271864077271035860795750779e-85,17685782.171594165508308538727241292483081328274078779554977353765194728094944764,0.0,1.9707425942131969157624034271275648372834475129354865346625697991111501457386583e-78,2.7870509046826401020113018379793953148803126516666075311530945719899656740193396e-78,0,0.0001572602860508399977510433646247147401965539471472014487555421853562510068062845,0.0001572602860508399977510433646247147401965539471472014487555421853562510068062845,981.64972566067419287676593960176023822742639609113385462838957774932832024445469,981.64972566067419287676593960176023822742639609113385462838957774932832024445469
10,0.00018307558829696864680901144722270806705702288024076765217125817054202700545471507,1142.7939344380065921442672324505770907784350560784231293407716694459067292504192,10,18809479.880758583231163634666343708568819915772227924713691595352509395144127061,18809479.880758583231163634666343708568819915772227924713691595352509395144127061,0.0,1.0,37618959.761517166462327269332687417137639831544455849427383190705018790288254122,0.0,0.0,18809479.938287311339220879400658693779383348446799920862964760156711760557886906,0.0,6.682785928996487017508076101015675338956167746180460234057140981939424037442051e-79,9.450886495222915332827035707796718178588473767891304918973749278219575516605704e-79,10,0.00018307558829696864680901144722270806705702288024076765217125817054202700545471507,0.00018307558829696864680901144722270806705702288024076765217125817054202700545471507,1142.7939344380065921442672324505770907784350560784231293407716694459067292504192,1142.7939344380065921442672324505770907784350560784231293407716694459067292504192
20,0.00021312848762144136556217462811534960657834252692763194929340398127121414288731828,1330.3900600589349334177611126613284715047758921251266053589217761238875555088229,20,20004573.985948700304462573294855672294239653132777272587916444978704676947029307,20004573.985948700304462573294855672294239653132777272587916444978704676947029307,0.0,1.0,40009147.971897400608925146589711344588479306265554545175832889957409353894058613,0.0,0.0,20004574.053509630484460567042312301000832713310382247343925256110637377203644996,0.0,1.9820176431946532697863769624672850106126903351304827765003860959652434190417606e-78,2.8029962318686366293330563739337388608321830787149851734226811360007526499340746e-78,20,0.00021312848762144136556217462811534960657834252692763194929340398127121414288731828,0.00021312848762144136556217462811534960657834252692763194929340398127121414288731828,1330.3900600589349334177611126613284715047758921251266053589217761238875555088229,1330.3900600589349334177611126613284715047758921251266053589217761238875555088229
30,0.00024811455771942416869216083093502014285039927740719294671656228977731273781043987,1548.7800107329849015710408761785246484838424872002538131333934506767480258463615,30,21275600.718213492439699056013134128185562806567815805549652937768589576789937493,21275600.718213492439699056013134128185562806567815805549652937768589576789937493,0.0,1.0,42551201.436426984879398112026268256371125613135631611099305875537179153579874986,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,0.0,21275600.798518522856624147709470880064497336496358611642567855656971141338100384,2.5134558542324359951850352409529731292033103423997181773371131479997978904175185e-88,2.7517558811067983903724386370683102858806017316520253958007405578843984729506519e-78,3.8915704874011603488163478517981708881543241712963386566655330564441016706519983e-78,30,0.00024811455771942416869216083093502014285039927740719294671656228977731273781043987,0.00024811455771942416869216083093502014285039927740719294671656228977731273781043987,1548.7800107329849015710408761785246484838424872002538131333934506767480258463615,1548.7800107329849015710408761785246484838424872002538131333934506767480258463615
40,0.00028884353795552544460029014744952931699180312647357760873212650132104047476723137,1803.0183392979117303259773078489992797281600711364645762546876378770541515564588,40,22627384.581567743816266215295894935475292144791026072781738573666015251918319664,22627384.581567743816266215295894935475292144791026072781738573666015251918319664,0.0,1.0,45254769.163135487632532430591789870950584289582052145563477147332030503836639328,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,0.0,22627384.678039169756519075928501948261853466365248173172901977310072936280402157,0.0,9.1372181286243344304250124072976836495587231465387638957749315015709669136722358e-80,1.2921977799861844998341368943068692282814117296401030902791571310629231684169588e-79,40,0.00028884353795552544460029014744952931699180312647357760873212650132104047476723137,0.00028884353795552544460029014744952931699180312647357760873212650132104047476723137,1803.0183392979117303259773078489992797281600711364645762546876378770541515564589,1803.0183392979117303259773078489992797281600711364645762546876378770541515564588
50,0.00033625806940241971625301609746537177947629638189000904631232723497706015950687895,2098.989197268537660719361159328055292658415859075122789993627535637115504308219,50,24065056.615829737693170280138182927582046286491477483864608051420782810710996288,24065056.615829737693170280138182927582046286491477483864608051420782810710996288,0.0,1.0,48130113.231659475386340560276365855164092572982954967729216102841565621421992576,0.0,0.0,24065056.732798067393021350743234229902109120445360075594308263850837065867560982,0.0,3.5861337381177972386124238011510495038354832444924564821308166054369407459853711e-78,5.0715589689299139504442817730307875146353992092377275614724005756663229641742547e-78,50,0.00033625806940241971625301609746537177947629638189000904631232723497706015950687895,0.00033625806940241971625301609746537177947629638189000904631232723497706015950687895,2098.989197268537660719361159328055292658415859075122789993627535637115504308219,2098.989197268537660719361159328055292658415859075122789993627535637115504308219
60,0.00039145550509663713683952114863844243489236117638142974155063270881141393325881772,2443.5424787555378066378456799878934790393926616944944471371283596203529025614917,60,25594073.872671106273474206717113403170604935151999036173820862211535356020644734,25594073.872671106273474206717113403170604935151999036173820862211535356020644734,0.0,1.0,51188147.745342212546948413434226806341209870303998072347641724423070712041289467,0.0,0.0,25594074.015626638013024720485214710874192893383959545497913776559518968749752209,5.026911708464871990370070481905946258406620684799436354674226295999595780835037e-88,2.8214962327614482340726583961043053797483203216616157307351136882257517535284613e-78,3.9901982385558350780424174138097251242791797846064030800125546442036286134543393e-78,60,0.00039145550509663713683952114863844243489236117638142974155063270881141393325881772,0.00039145550509663713683952114863844243489236117638142974155063270881141393325881772,2443.5424787555378066378456799878934790393926616944944471371283596203529025614917,2443.5424787555378066378456799878934790393926616944944471371283596203529025614917
70,0.00045571329876726929974189461675052903495385350766706504225251208305354336216562752,2844.6523019180357226797507817156648287059971492430156588150442703015288136337021,70,27220240.129148620532062542234607033918262506180553692333463930149349879593702372,27220240.129148620532062542234607033918262506180553692333463930149349879593702372,0.0,1.0,54440480.258297241064125084469214067836525012361107384666927860298699759187404744,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,5.1475575894680289181389521734716889686083795812346228271864077271035860795750779e-85,27220240.305061595049756743087241673391364223038715393338388999598782862705488945,5.026911708464871990370070481905946258406620684799436354674226295999595780835037e-88,2.1298797697133842753540848595196907432203511543118887725093443100809173958206811e-78,3.0121048565527524917462338081888575434902452669904608657381395387335658378055655e-78,70,0.00045571329876726929974189461675052903495385350766706504225251208305354336216562752,0.00045571329876726929974189461675052903495385350766706504225251208305354336216562752,2844.6523019180357226797507817156648287059971492430156588150442703015288136337021,2844.6523019180357226797507817156648287059971492430156588150442703015288136337021
80,0.00053051855895973854727852474073262629235289812858482187748475148849126277245660955,3311.6014916338238083054108405806423282350210561339771447604943745288362153300062,80,28949727.917339025367826798634831943034147501942414912267847965652892084283490309,28949727.917339025367826798634831943034147501942414912267847965652892084283490309,0.0,1.0,57899455.834678050735653597269663886068295003884829824535695931305784168566980617,0.0,0.0,28949728.135067221516788507277801639394538952573193372273700216757897731360196684,0.0,2.578905437381173461010556972697674237787584003047844964653654462331455611072745e-78,3.6471230456221741220502772126463408837845161266227983944113974270724455039782645e-78,80,0.00053051855895973854727852474073262629235289812858482187748475148849126277245660955,0.00053051855895973854727852474073262629235289812858482187748475148849126277245660955,3311.6014916338238083054108405806423282350210561339771447604943745288362153300062,3311.6014916338238083054108405806423282350210561339771447604943745288362153300062
90,0.00061760245168299181680481206033336931738233793594155534344225394120921656479908632,3855.1963276091875656552275129173956152693712141814357987755499493539930563076613,90,30789101.953693898880920184806471660373570533421592094862301412578964712488019043,30789101.953693898880920184806471660373570533421592094862301412578964712488019043,0.0,1.0,61578203.907387797761840369612943320747141066843184189724602825157929424976038085,0.0,0.0,30789102.224501707669938664821035705727045259189980208456073494181188716837018222,-5.026911708464871990370070481905946258406620684799436354674226295999595780835037e-88,3.2488678349755723879528404565535428396243782651848850010329890973842837468730005e-78,4.5945929545801689131960803587385222362077056856581580836913286435447211876602393e-78,90,0.00061760245168299181680481206033336931738233793594155534344225394120921656479908632,0.00061760245168299181680481206033336931738233793594155534344225394120921656479908632,3855.1963276091875656552275129173956152693712141814357987755499493539930563076613,3855.1963276091875656552275129173956152693712141814357987755499493539930563076613
100,0.00071898024666877105384507451774299519633248575206846005649601602364712282054571862,4488.0165210285336465779407024202796149052378785111773336173866628557987145218553,100,32745344.057044888189182304982879087976694505385485715216822749190613924864013332,32745344.057044888189182304982879087976694505385485715216822749190613924864013332,0.0,1.0,65490688.114089776378364609965758175953389010770971430433645498381227849728026665,0.0,0.0,32745344.395264486131917407468650664351866940676896012565661311499283192435451445,0.0,6.1038571374605242818177832509663346312309199841695643648644124512524155449087352e-78,8.6321575465844905555563894326119988356406810012479844874354636572018659088202944e-78,100,0.00071898024666877105384507451774299519633248575206846005649601602364712282054571862,0.00071898024666877105384507451774299519633248575206846005649601602364712282054571862,4488.0165210285336465779407024202796149052378785111773336173866628557987145218553,4488.0165210285336465779407024202796149052378785111773336173866628557987145218553
